Well,Sample,Target,Cq
P1,41,SlAct,18.97742165523039
P2,41,SlAct,19.031694110108816
P3,41,SlAct,18.95295430824513
P4,00,SlAct,26.005256213590098
P5,00,SlAct,26.81320523323322
P6,00,SlAct,27.1967860147995
P7,41,SlFLS3,17.962437157331983
P8,41,SlFLS3,17.195908489579217
P9,41,SlFLS3,17.52123760952994
P10,00,SlFLS3,17.44737599720733
P11,00,SlFLS3,16.286643552048947
P12,00,SlFLS3,15.501328586118934
P13,41,SlWAK1,22.292688536856268
P14,41,SlWAK1,22.147380435283473
P15,41,SlWAK1,22.054594469584593
P16,00,SlWAK1,33.47696787369857
P17,00,SlWAK1,32.21091146120128
P18,00,SlWAK1,32.446817830050975
